q0,8,163693,8,174695,8,1066,0,0,160564,1,163201,160564,0
q1020,3,2478,4,3125,4,154,0,0,14181,1,2253,14181,0
q1052,4,3094,5,3737,5,195,0,0,12602,1,2878,12602,0
q1084,3,3665,4,4688,4,126,0,0,22723,1,3463,22723,0
q1116,5,7495,6,9229,6,240,0,0,28378,1,7314,28378,0
q1148,9,4807,14,6738,14,564,18,0,11995,1,4450,11995,0
q1180,5,2942,7,4872,7,230,8,0,10481,1,2635,10481,0
q1212,6,10181,7,12129,7,235,0,0,32100,1,9947,32100,0
q1244,7,4474,12,32468,14,597,152,0,36890,3,10405,36890,0
q1276,6,14100,6,16031,6,253,0,0,31822,1,13863,31822,0
q128,7,233544,13,300007,13,359,32,0,438300,1,233249,438750,0
q1308,7,4020,11,22090,12,526,109,0,22725,2,7515,22725,0
q1340,5,7741,10,30818,13,481,182,0,38907,4,11526,38907,0
q1372,10,84674,12,95462,12,631,4,0,76500,1,84351,76500,0
q1404,10,10494,12,12976,12,638,4,0,15980,1,10152,15980,0
q1436,5,3234,5,4245,5,178,0,0,12862,1,3021,12862,0
q1468,7,1334,16,21016,24,1242,318,0,22197,7,8662,22191,0
q1500,7,6030,12,18900,19,741,255,0,21343,4,6819,21343,0
q1532,7,10004,11,36563,12,404,89,0,40540,2,11215,40540,0
q1564,5,1575,9,14075,11,387,137,0,17729,3,2573,17729,0
q1596,6,10792,10,34964,11,457,96,0,30386,2,11916,30386,0
q160,7,219119,13,300012,13,343,35,0,569700,1,218802,570150,0
q1628,7,12158,11,31168,12,544,119,0,22675,2,13362,22675,0
q1660,6,1534,10,14064,11,408,110,0,19597,2,4201,19597,0
q1692,6,15559,7,17969,7,316,0,0,31970,1,15306,31970,0
q1724,7,10934,10,27340,10,360,52,0,39857,1,10615,39857,0
q1756,5,3954,5,4926,5,168,0,0,16151,1,3767,16151,0
q1788,5,2393,10,3892,10,289,136,0,11974,1,1992,11974,0
q1820,5,4240,6,5355,6,194,0,0,11394,1,4015,11394,0
q1852,5,2888,6,3639,6,243,0,0,11394,1,2648,11394,0
q1884,5,20231,6,23083,6,226,0,0,34281,1,20022,34281,0
q1916,5,5051,6,5796,6,261,0,0,11394,1,4804,11394,0
q192,12,166035,12,191701,12,1224,0,0,270136,1,165638,270136,0
q1948,8,5424,9,6402,9,435,0,0,12486,1,5192,12486,0
q1961,5,797,6,946,6,213,0,0,2134,1,614,2134,0
q1993,2,1107,3,1446,3,135,0,0,6189,1,891,6189,0
q2025,3,633,4,800,4,139,0,0,2533,1,452,2533,0
q2057,10,6077,11,6878,11,592,0,0,8482,1,5822,8482,0
q2089,3,705,4,828,4,151,0,0,1908,1,517,1908,0
q2121,2,765,3,1052,3,126,0,0,6189,1,569,6189,0
q2153,12,8185,13,8444,13,867,0,0,2507,1,7841,2507,0
q2185,2,892,3,1181,3,115,0,0,6189,1,697,6189,0
