q3369,1,110,2,455,18,257,1700,0,1649,0,0,0,0
q3401,4,273,6,496,6,142,9,0,1153,1,87,1153,0
q3433,2,281,3,458,3,97,0,0,3839,1,137,3839,0
q3453,4,189,5,212,5,159,0,0,223,1,33,223,0
q3485,5,256,6,324,6,196,0,0,904,1,91,904,0
q3517,4,197,5,228,5,159,0,0,392,1,38,392,0
q352,8,202926,9,236502,9,408,0,0,554147,1,202732,554147,0
q3549,3,178,4,196,4,136,0,0,167,1,22,167,0
q3581,2,171,3,190,3,117,0,0,180,1,17,180,0
q3613,11,641,12,678,12,599,0,0,309,1,433,309,0
q3645,8,278,9,308,9,391,0,0,198,1,87,198,0
q3677,5,231,6,256,6,236,0,0,202,1,60,202,0
q3709,3,175,4,200,4,123,0,0,205,1,28,205,0
q3741,4,200,5,238,5,158,0,0,378,1,40,378,0
q3773,3,205,4,246,4,135,0,0,607,1,50,607,0
q3805,8,271,9,286,9,478,0,0,118,1,72,118,0
q3837,4,182,5,201,5,164,0,0,201,1,24,201,0
q384,10,220090,12,290365,12,569,4,0,521928,1,219827,521928,0
q3869,2,162,3,181,3,105,0,0,180,1,19,180,0
q3901,4,248,5,287,5,180,0,0,495,1,68,495,0
q3933,5,244,6,284,6,235,0,0,417,1,81,417,0
q3965,3,180,4,204,4,142,0,0,330,1,27,330,0
q3997,8,318,9,359,9,531,0,0,350,1,109,350,0
q4029,6,251,7,298,7,320,0,0,498,1,74,498,0
q4061,3,185,4,211,4,160,0,0,263,1,24,263,0
q4093,2,162,3,195,3,104,0,0,261,1,22,261,0
q4125,5,210,6,245,6,203,0,0,374,1,54,374,0
q4157,8,315,9,355,9,447,0,0,397,1,119,397,0
q416,10,221915,12,291201,12,479,4,0,521928,1,221661,521928,0
q4189,8,304,9,351,9,388,0,0,383,1,113,383,0
q4221,5,234,6,270,6,214,0,0,374,1,69,374,0
q4253,6,261,7,318,7,288,0,0,636,1,95,636,0
q4285,2,207,3,280,3,108,0,0,967,1,56,967,0
q4317,3,210,4,249,4,139,0,0,607,1,50,607,0
q4349,6,253,7,300,7,271,0,0,526,1,80,526,0
q4381,10,845,11,879,11,585,0,0,245,1,645,245,0
q4413,7,228,8,252,8,340,0,0,150,1,45,150,0
q4445,7,238,8,262,8,359,0,0,173,1,50,173,0
q4477,3,167,4,189,4,124,0,0,205,1,19,205,0
q448,5,29227,6,36448,6,176,0,0,128887,1,29029,128887,0
q4509,10,1173,11,1216,11,490,0,0,414,1,987,414,0
q4541,4,197,5,216,5,155,0,0,216,1,31,216,0
q4573,3,185,4,199,4,149,0,0,129,1,20,129,0
q4605,5,285,6,320,6,464,0,0,374,1,65,374,0
q4637,6,253,7,267,7,260,0,0,117,1,82,117,0
q4669,4,195,5,217,5,185,0,0,216,1,26,216,0
q4701,8,346,9,392,9,397,0,0,467,1,166,467,0
